universe_id,E,I,causal_scale,entanglement_density,error_correction_threshold,holographic_entropy,comoving_distance
156,0.766,0.2795248560697346,101.32000000000001,0.10417990382211344,0.08897624280348673,33152.27039661539,100.0
145,0.766,0.2981881486654582,101.32000000000001,0.11113577907043619,0.08990940743327291,33212.46097266709,100.0
101,0.7397080186629683,0.4121027915391916,100.79416037325937,0.15280335661154326,0.09560513957695958,33232.197682532846,100.0
127,0.766,0.26515655959868534,101.32000000000001,0.09882478884061037,0.08825782797993427,33105.93151846523,100.0
141,0.766,0.19356844218080765,101.32000000000001,0.07214364394256932,0.08467842210904039,32875.0542494229,100.0
139,0.7536107869816815,0.24782678547494055,101.07221573963363,0.09214270059796721,0.08739133927374704,32888.58750957264,100.0
42,0.72,0.48941717198647755,100.4,0.18076526334327522,0.09947085859932388,33217.630990989805,100.0
15,0.7520508828544349,0.3238725297959284,101.0410176570887,0.1203799430656824,0.09119362648979643,33112.19184683106,100.0
126,0.766,0.3668443531087882,101.32000000000001,0.13672418961920357,0.09334221765543942,33433.882593411225,100.0
65,0.72,0.32963127486865806,100.4,0.12174865864628642,0.09148156374343291,32711.624901137737,100.0
