universe_id,E,I,vacuum_energy,quantum_correction,entanglement_entropy,information_bound,scale_factor
156,0.766,0.4582890463491788,0.7628049409503471,2.080629051516888e-07,0.31766176035843935,0.39720861912829575,1.0
145,0.7551065689892901,0.294409203877526,0.7395822729217082,1.3366157177468765e-07,0.20406890959860527,0.1134567744855983,1.0
101,0.72,0.43962103071060643,0.7156527142111636,1.995876391637273e-07,0.30472207795191397,0.3534771511261807,1.0
127,0.7495512575426186,0.3523369659065672,0.7384831562528895,1.599607350488517e-07,0.24422137452518264,0.18593692598129374,1.0
141,0.7408056953593241,0.4068738927920184,0.7339068602986925,1.8472046154946427e-07,0.282023491632237,0.2826689403729828,1.0
139,0.766,0.2809266265755917,0.7492189795956903,1.2754049114943675e-07,0.194723499155088,0.10058569448236102,1.0
42,0.7629709206681479,0.4035525556633092,0.7556122611279824,1.8321257682585496e-07,0.27972131616578316,0.27598323174487904,1.0
15,0.766,0.33282224387600445,0.753194183880902,1.5110106495363206e-07,0.230694799970287,0.15818732766077842,1.0
126,0.72,0.3642038086021099,0.7102226742193519,1.6534827329765266e-07,0.2524468430817464,0.20457174433597372,1.0
65,0.72,0.5182642428550074,0.7213150254855606,2.352916022402473e-07,0.3592333987199831,0.5455340992744201,1.0
