universe_id,E,I,causal_scale,entanglement_density,error_correction_threshold,holographic_entropy,comoving_distance
156,0.766,0.15983854708983386,101.32000000000001,0.05957239258440396,0.08299192735449169,32766.27270376176,100.0
145,0.7640779395986885,0.1306004527079448,101.28155879197378,0.04865702076918298,0.08153002263539724,32647.19051463555,100.0
101,0.766,0.22144225191183745,101.32000000000001,0.08253231154717806,0.08607211259559187,32964.949462492135,100.0
127,0.7464822930780771,0.17568811931201694,100.92964586156154,0.06523011209398846,0.08378440596560086,32565.005742307003,100.0
141,0.766,0.13088948386786314,101.32000000000001,0.04878297419560495,0.08154447419339317,32672.90971421688,100.0
139,0.72,0.1791007927639375,100.4,0.0661505231570768,0.0839550396381969,32234.92863427514,100.0
42,0.72,0.2959956761178622,100.4,0.10932541685193364,0.08979978380589311,32605.10850569407,100.0
15,0.7385317424600677,0.1819822744119717,100.77063484920134,0.0674614756501818,0.08409911372059858,32482.556201641924,100.0
126,0.766,0.2101234144739196,101.32000000000001,0.07831374074728384,0.08550617072369598,32928.44532785837,100.0
65,0.7621898703907954,0.18909337546591334,101.2437974078159,0.07042343663961924,0.08445466877329566,32811.2115667853,100.0
