universe_id,E,I,vacuum_energy,quantum_correction,entanglement_entropy,information_bound,scale_factor
156,0.766,0.15983854708983386,0.7399436327070813,7.256658811216085e-08,0.11079163826011638,0.03224504476410091,1.0
145,0.7640779395986885,0.1306004527079448,0.7358529351003283,5.9292513798894186e-08,0.0905253355743644,0.024268802154054813,1.0
101,0.766,0.22144225191183745,0.7446624764964467,1.0053462683243897e-07,0.1534920725695353,0.05810853579210625,1.0
127,0.7464822930780771,0.17568811931201694,0.7222729854412342,7.976228276868628e-08,0.12177772455900382,0.03757494208585832,1.0
141,0.766,0.13088948386786314,0.7377261344642783,5.942373374248881e-08,0.09072567670795578,0.024337338424285048,1.0
139,0.72,0.1791007927639375,0.6968952570790035,8.131163411888118e-08,0.12414320954037433,0.03882873391106812,1.0
42,0.72,0.2959956761178622,0.7053116886804861,1.343818290575016e-07,0.2051685683590309,0.11506232926620788,1.0
15,0.7385317424600677,0.1819822744119717,0.7150451239588963,8.261982476320761e-08,0.12614050042054448,0.03991854005826164,1.0
126,0.766,0.2101234144739196,0.7437954535487022,9.539588258569444e-08,0.14564645231222617,0.05221460498802326,1.0
65,0.7621898703907954,0.18909337546591334,0.7384928824050679,8.584825964703643e-08,0.13106954006676097,0.042734826472235185,1.0
