group,n,stable_n,stable_ratio,lockin_n,lockin_ratio,eps
I <= 1e-12,0,0,,0,,1e-12
I > 1e-12,175,90,0.5142857142857142,23,0.13142857142857142,1e-12
I <= 1e-09,0,0,,0,,1e-09
I > 1e-09,175,90,0.5142857142857142,23,0.13142857142857142,1e-09
I <= 1e-06,0,0,,0,,1e-06
I > 1e-06,175,90,0.5142857142857142,23,0.13142857142857142,1e-06
I <= 0.001,0,0,,0,,0.001
I > 0.001,175,90,0.5142857142857142,23,0.13142857142857142,0.001
I <= 0.01,0,0,,0,,0.01
I > 0.01,175,90,0.5142857142857142,23,0.13142857142857142,0.01
I <= 0.05,0,0,,0,,0.05
I > 0.05,175,90,0.5142857142857142,23,0.13142857142857142,0.05
I <= 0.1,8,4,0.5,1,0.125,0.1
I > 0.1,167,86,0.5149700598802395,22,0.1317365269461078,0.1
