universe_id,E,I,vacuum_energy,quantum_correction,entanglement_entropy,information_bound,scale_factor
156,0.766,0.09630388175843344,0.735076877342696,4.3721894676875243e-08,0.06675276411783648,0.01734487437273741,1.0
145,0.766,0.18558900396100386,0.7419161177034129,8.425727744519098e-08,0.12864049483849835,0.04132399051158821,1.0
101,0.728188465060694,0.23340366026112402,0.7087752271181689,1.0596509782161908e-07,0.16178308904236946,0.06501190452753809,1.0
127,0.72,0.1310686136303733,0.6934369401813869,5.9505058528852135e-08,0.09084983999779407,0.02437990910551045,1.0
141,0.766,0.14020599697748914,0.7384397793684757,6.365342415057171e-08,0.0971833915025428,0.02665037739778445,1.0
139,0.766,0.1014791123853777,0.73547330000872,4.6071445746554546e-08,0.07033996063565037,0.01824933237822029,1.0
42,0.766,0.14070444582880126,0.7384779605504862,6.387971957896932e-08,0.09752888991848314,0.026779981221307973,1.0
15,0.72,0.19002829322938777,0.6976820371125159,8.627271165499081e-08,0.13171757567856868,0.043118927129579585,1.0
126,0.735005194898567,0.09792466110079612,0.7054524486154153,4.445772735991277e-08,0.06787620274930498,0.017623292391878993,1.0
65,0.766,0.22602670841955183,0.7450136458649377,1.0261596686693297e-07,0.1566697756722572,0.060669122225381976,1.0
