universe_id,seed
0,3404315181
1,1914925922
2,1987454518
3,2567702992
4,2205390741
5,1939786644
6,3379664040
7,1059341408
8,3068417063
9,2934552129
10,447302609
11,374559873
12,1923131012
13,2426710439
14,2587802107
15,3167859883
16,3730722160
17,607970496
18,1193481754
19,3739525574
20,982731968
21,3334873309
22,2137748495
23,1318851973
24,2888117020
25,3521357818
26,1767293723
27,1253076529
28,3332512061
29,2974053649
30,3614264068
31,3502722455
32,2567452908
33,1838333921
34,1624887288
35,3411558960
36,4200374775
37,2572902494
38,1923883731
39,485045818
40,39759646
41,3877477932
42,3609279534
43,840991059
44,4159875241
45,3154850314
46,1745166285
47,2527880627
48,1521074215
49,1686205011
50,639842112
51,1741222149
52,549445023
53,960692532
54,2464226850
55,1888419551
56,3284953668
57,1704008964
58,3177532050
59,1197440325
60,2386309999
61,143173404
62,478419644
63,3033620430
64,3454649052
65,2090690847
66,2876301467
67,927642689
68,1856498776
69,1588882486
70,259274798
71,3837321995
72,1022432166
73,34793062
74,2378189418
75,1402955868
76,2757858571
77,3927015937
78,1916508667
79,1454323052
80,3613848871
81,24985413
82,3496328867
83,1952757315
84,4177258093
85,490584249
86,4197309359
87,1107252960
88,1083075486
89,1920297979
90,414576120
91,755002636
92,3707932448
93,100641213
94,1168439482
95,2788469323
96,600295028
97,1137098039
98,2104612977
99,3374343796
100,2853079890
101,1023475006
102,267936242
103,2503845543
104,3289575206
105,2570145078
106,3226163747
107,755420351
108,2898253418
109,1431355782
110,46085559
111,1419169091
112,3992899330
113,2602214001
114,1204757490
115,1915775826
116,3785110992
117,3209591842
118,1539194177
119,4163298820
120,1770444697
121,2790505219
122,4291214747
123,3562831104
124,3839232488
125,3569997215
126,1095682416
127,153865411
128,4263036190
129,2245208626
130,416045764
131,1322719634
132,2078349807
133,919942552
134,1343453545
135,1768321484
136,3162036302
137,3922456435
138,69550849
139,1129115096
140,2104519406
141,2016865681
142,1004505823
143,747469735
144,3230034106
145,395139893
146,1053216805
147,2417201677
148,1977293518
149,809286712
150,3359688211
151,318093523
152,3988409333
153,3414286001
154,4049304831
155,911720207
156,2756119226
157,3243708838
158,1967027817
159,2152961563
160,255981716
161,711561925
162,331545492
163,1551144840
164,503628816
165,1104069965
166,718956039
167,2421078792
168,3653059528
169,3653038035
170,3875238994
171,2451692043
172,98497467
173,3814510100
174,2354866068
