universe_id,E,I,vacuum_energy,quantum_correction,entanglement_entropy,information_bound,scale_factor
156,0.72,0.252670993657931,0.702192311543371,1.1471245365087324e-07,0.17513818686327468,0.07775198782731305,1.0
145,0.72,0.35812904566116566,0.7097852912876039,1.6259033518922652e-07,0.24823613827666088,0.19486396619218727,1.0
101,0.72,0.41709429329233977,0.7140307891170484,1.8936051619805485e-07,0.2891077334232282,0.30384448529127656,1.0
127,0.766,0.21282752193917764,0.7440025881805411,9.66235454756237e-08,0.14752079677770089,0.05356913915324746,1.0
141,0.766,0.37332019043246956,0.7562963265871272,1.6948710424551588e-07,0.25876583744436815,0.2198058579866453,1.0
139,0.766,0.22658590480116947,0.7450564803077696,1.0286984163142174e-07,0.1570573810675548,0.060988583177760486,1.0
42,0.72,0.4255255097233576,0.7146378367000817,1.9318828253586003e-07,0.2949518073210789,0.3219674367691997,1.0
15,0.7592880735899284,0.3635580480895207,0.7489281989076326,1.6505509847850331e-07,0.2519992360031283,0.20352295345830684,1.0
126,0.766,0.23593145198982682,0.7457723492224207,1.0711271349099205e-07,0.16353522075216256,0.06656543097265895,1.0
65,0.72,0.24062879480309057,0.7013252732258225,1.0924530382891693e-07,0.16679117067929985,0.06954419999947278,1.0
