universe_id,E,I,causal_scale,entanglement_density,error_correction_threshold,holographic_entropy,comoving_distance
156,0.766,0.27508876083275347,101.32000000000001,0.10252655541642056,0.08875443804163768,33137.96364305813,100.0
145,0.766,0.28270813889468815,101.32000000000001,0.10536632460488458,0.08913540694473442,33162.5367323108,100.0
101,0.7597847135635613,0.3808346338499088,101.19569427127122,0.14176643968809893,0.09404173169249544,33396.90445525387,100.0
127,0.7541109430254539,0.3509711582079371,101.08221886050907,0.13050484760911618,0.09254855791039686,33226.18694809645,100.0
141,0.766,0.23812942992702624,101.32000000000001,0.08875168189273026,0.08690647149635132,33018.76691470534,100.0
139,0.7483373606871465,0.2842293532517247,100.96674721374292,0.10556811676454335,0.08921146766258624,32936.568966346495,100.0
42,0.766,0.28813946159370163,101.32000000000001,0.10739059781037343,0.08940697307968509,33180.05317215118,100.0
15,0.72,0.42131749120136275,100.4,0.15561278109433938,0.09606587456006815,33001.974579405236,100.0
126,0.72,0.3475214393879888,100.4,0.12835635548590751,0.09237607196939945,32768.27903869633,100.0
65,0.7534323081201929,0.24941318735078527,101.06864616240385,0.0927292889490099,0.08747065936753927,32891.35540835321,100.0
