universe_id,E,I,vacuum_energy,quantum_correction,entanglement_entropy,information_bound,scale_factor
156,0.766,0.27508876083275347,0.7487717990797889,1.2489010420256002e-07,0.19067699897495216,0.09542605567308327,1.0
145,0.766,0.28270813889468815,0.7493554434393331,1.2834929649101655e-07,0.1959583493962025,0.10220890403734487,1.0
101,0.7597847135635613,0.3808346338499088,0.7507307112048569,1.7289865627907495e-07,0.26397445271264336,0.23296331019489272,1.0
127,0.7541109430254539,0.3509711582079371,0.7428725149832736,1.5934065931298305e-07,0.24327466876969012,0.18387844141489862,1.0
141,0.766,0.23812942992702624,0.7459407143324102,1.081105939306755e-07,0.1650587429622653,0.06794421287671142,1.0
139,0.7483373606871465,0.2842293532517247,0.7321904370570101,1.2903992674064798e-07,0.1970127748388097,0.10361327559583242,1.0
42,0.766,0.28813946159370163,0.7497714827580775,1.3081511318154257e-07,0.19972305541173493,0.10730158475214804,1.0
15,0.72,0.42131749120136275,0.7143348593664981,1.9127784508248202e-07,0.2920350311468141,0.31285079080070444,1.0
126,0.72,0.3475214393879888,0.7090215436359352,1.5777448939172327e-07,0.24088350589591837,0.178757895265328,1.0
65,0.7534323081201929,0.24941318735078527,0.7345522880563149,1.1323341187563127e-07,0.17288004760666623,0.07544782506231337,1.0
