universe_id,E,I,causal_scale,entanglement_density,error_correction_threshold,holographic_entropy,comoving_distance
156,0.7208552472984333,0.5144222444827278,100.41710494596867,0.19003307569416936,0.1007211122241364,33308.16283563526,100.0
145,0.7645101638654518,0.3516161532089773,101.29020327730905,0.13101054254835598,0.09258080766044888,33365.137406338916,100.0
101,0.766,0.3589030891072207,101.32000000000001,0.13376445240104748,0.09294515445536104,33408.27139686692,100.0
127,0.7484255034140967,0.4697117126537666,100.96851006828193,0.1744627633707501,0.09848558563268833,33531.77099208367,100.0
141,0.72,0.2811395982129257,100.4,0.10383835389532727,0.08905697991064629,32558.062639777178,100.0
139,0.7270183604909377,0.5173296043878584,100.54036720981875,0.19134055166259248,0.10086648021939291,33399.2174590739,100.0
42,0.7341504177368239,0.43423926939587787,100.68300835473647,0.16083507227486465,0.0967119634697939,33229.44067438555,100.0
15,0.766,0.4373092051127908,101.32000000000001,0.1629866895193378,0.09686546025563954,33661.13724377717,100.0
126,0.766,0.3521967390011052,101.32000000000001,0.13126497196529607,0.09260983695005526,33386.6428940708,100.0
65,0.7508964211848034,0.35948189800732466,101.01792842369606,0.13358534115400794,0.09297409490036623,33211.21964929307,100.0
