group,n,stable_n,stable_ratio,lockin_n,lockin_ratio,eps
I <= 1e-12,0,0,,0,,1e-12
I > 1e-12,10000,4875,0.4875,2078,0.2078,1e-12
I <= 1e-09,0,0,,0,,1e-09
I > 1e-09,10000,4875,0.4875,2078,0.2078,1e-09
I <= 1e-06,0,0,,0,,1e-06
I > 1e-06,10000,4875,0.4875,2078,0.2078,1e-06
I <= 0.001,0,0,,0,,0.001
I > 0.001,10000,4875,0.4875,2078,0.2078,0.001
I <= 0.01,0,0,,0,,0.01
I > 0.01,10000,4875,0.4875,2078,0.2078,0.01
I <= 0.05,7,2,0.2857142857142857,0,0.0,0.05
I > 0.05,9993,4873,0.487641348944261,2078,0.20794556189332533,0.05
I <= 0.1,83,18,0.21686746987951808,3,0.03614457831325301,0.1
I > 0.1,9917,4857,0.4897650499142886,2075,0.20923666431380458,0.1
