universe_id,E,I,causal_scale,entanglement_density,error_correction_threshold,holographic_entropy,comoving_distance
156,0.766,0.4684834529901938,101.32000000000001,0.17460544210992796,0.0984241726495097,33761.676627602144,100.0
145,0.7503134965747998,0.5185467656772139,101.00626993149599,0.19267265637004657,0.10092733828386069,33713.37889357408,100.0
101,0.7617334779381205,0.4814645648047633,101.23466955876242,0.1792943285540263,0.09907322824023818,33746.62785998957,100.0
127,0.766,0.422824966278677,101.32000000000001,0.15758836240849924,0.09614124831393385,33614.4244424521,100.0
141,0.72,0.5593385462881705,100.4,0.20659058448529363,0.10296692731440854,33439.056297263196,100.0
139,0.7493082266666596,0.5298422437372388,100.9861645333332,0.19683083453578007,0.10149211218686194,33736.14800488691,100.0
42,0.7347536636329083,0.5405503404056347,100.69507327265816,0.20023476897577538,0.10202751702028175,33576.05007889095,100.0
15,0.766,0.5016984909777897,101.32000000000001,0.18698480440224705,0.1000849245488895,33868.79771889932,100.0
126,0.72,0.5885718184511106,100.4,0.2173878356717835,0.10442859092255552,33531.631512019754,100.0
65,0.7295658567774967,0.5418171496183913,100.59131713554994,0.20049854572825423,0.10209085748091958,33510.91925175563,100.0
