universe_id,seed
0,3908628774
1,2638749143
2,2634209440
3,1059634902
4,4127412321
5,3865460247
6,963853089
7,505998322
8,2934129112
9,1986091617
10,3706980555
11,558266729
12,874246904
13,142521392
14,2639140108
15,1903988341
16,1276065769
17,290904680
18,1681518507
19,3394356499
20,879830841
21,2422745936
22,3494830835
23,1128059842
24,430583611
25,3540255634
26,2879979790
27,2900023823
28,2468867074
29,2217279648
30,2052669360
31,1428711482
32,2891675486
33,4189479264
34,902404925
35,3862905489
36,3176941512
37,3375179024
38,1572143146
39,4242895463
40,997749467
41,3426688762
42,1605050072
43,1493369088
44,3767174568
45,2838253924
46,916545458
47,4270566620
48,48437464
49,3483925650
50,2637128064
51,4212837959
52,3954825037
53,2009297131
54,2014101774
55,3220459684
56,4164461720
57,3188891011
58,3018173059
59,1286856128
60,3630561224
61,959045717
62,2500647822
63,96856030
64,2068529110
65,2101452432
66,285958652
67,1011223611
68,1427328800
69,1717878205
70,1379033743
71,1425752482
72,1944279494
73,144825130
74,1936949087
75,3383610458
76,2906158367
77,748763744
78,2238084930
79,1930605015
80,156337629
81,906163411
82,1649117009
83,16656891
84,333487154
85,609818266
86,2922914446
87,3780967854
88,3705236287
89,703118913
90,629338809
91,444241682
92,2130362646
93,3829956573
94,1059844068
95,1334421323
96,1798998632
97,415085671
98,2318329720
99,2050499241
100,3188671387
101,3661813446
102,2718838988
103,2228440036
104,887435188
105,1592717502
106,4126713706
107,1251218688
108,4143433587
109,2963560373
110,3633891851
111,1741682078
112,1709908237
113,1216389932
114,4129544635
115,3341852716
116,1774169630
117,1153362629
118,2085290634
119,2545339834
120,3283656868
121,1138397096
122,3699324243
123,2472686500
124,242778307
125,1174770848
126,2941604679
127,2047112413
128,1989405095
129,3925793492
130,4063176256
131,2137878079
132,629818334
133,1318136823
134,1303582264
135,1374258814
136,3101548257
137,862102895
138,1655240694
139,3419479344
140,582063842
141,613948535
142,521150041
143,1025783462
144,594954747
145,219318969
146,3119342276
147,4011427833
148,674722196
149,3865493844
150,2538918586
151,3754178786
152,3390162786
153,1769153584
154,1080446233
155,2623940630
156,2726287942
157,567877317
158,2417067612
159,2576702403
160,4109249617
161,1863027808
162,694676092
163,3523456059
164,459950822
165,1967499255
166,135273543
167,3165236795
168,571967110
169,799887459
170,4054575831
171,767152854
172,2414333271
173,123294341
174,548474812
175,2005564155
176,1505243278
177,1607634477
178,68535176
179,4013619759
180,1044973291
181,1290588209
182,3632933785
183,446793741
184,1854471030
185,2635574085
186,33833909
187,1673577150
188,371794024
189,2306224682
190,476442646
191,1517941971
192,1888314434
193,993451933
194,3632718341
195,2960272681
196,635481863
197,1695181128
198,670686558
199,1568035241
200,3567711819
201,2261292582
202,3589898968
203,2433211089
204,1257580741
205,3877104712
206,1826081218
207,1235661904
208,1965538948
209,1953767109
210,1279010667
211,737187783
212,1083473179
213,3490180054
214,2268810840
215,1301204006
216,2011548154
217,1301095852
218,3296570065
219,2791280565
220,3082423263
221,4141903107
222,2461973039
223,2141291745
224,2532450427
225,3128024458
226,466596411
227,461057588
228,2808103800
229,1873448966
230,2393263660
231,201697330
232,4291450808
233,2998654347
234,564654260
235,1826042563
236,2532213126
237,3614096150
238,238507400
239,810830722
240,2347448731
241,2928696120
242,1344717194
243,1834275736
244,157913262
245,1917951907
246,2152141866
247,3779816752
248,3117514555
249,3779049887
250,2746059213
251,1351656020
252,3571139328
253,935587219
254,1799018055
255,1849909712
256,2035655689
257,1292991606
258,2820903204
259,2049410357
260,3325792649
261,2512312188
262,1253212089
263,3568250641
264,1726428978
265,51129594
266,1930896356
267,1172885539
268,4014311629
269,2973195083
270,1579874121
271,3049746169
272,343264492
273,861444292
274,3038898136
275,3057402741
276,1325533254
277,369313764
278,2967599315
279,654159708
280,932307319
281,2964231376
282,800830471
283,2698993520
284,1225362000
285,2346821331
286,519889819
287,1544091667
288,4140417817
289,1381454561
290,2329808322
291,1547138009
292,256136504
293,3419841148
294,3742780631
295,1686200424
296,2615831667
297,1826752491
298,100322511
299,1101057588
300,39129275
301,401039786
302,962479886
303,379636816
304,1480948273
305,2840411821
306,168828878
307,20067600
308,2004595648
309,3427042644
310,3131876149
311,1880749389
312,1587945526
313,2604414229
314,1426530115
315,631267918
316,2780736690
317,125317452
318,1956622839
319,94341003
320,416147290
321,2271536608
322,3629436064
323,2737178556
324,1707417563
325,870122137
