universe_id,seed
0,2469741251
1,2614074762
2,143625954
3,1965758871
4,1763776122
5,3501105305
6,2137154916
7,164031904
8,2303243829
9,4225349193
10,565856940
11,340507356
12,3879627360
13,4258023331
14,523840857
15,3873034047
16,649556128
17,1640261166
18,2126573944
19,1913638111
20,2533952413
21,3157728816
22,897627551
23,509888313
24,3227974476
25,1472794951
26,1157110311
27,1545447511
28,3999084438
29,358848050
30,4009535162
31,2161927360
32,4108469933
33,662946000
34,2556332373
35,4178553583
36,1576670708
37,2698698694
38,2867092051
39,558143816
40,1217772180
41,3289707583
42,994049016
43,2655689992
44,1290625819
45,1865388905
46,2580971133
47,1551757735
48,1964102240
49,2735735805
50,2929234524
51,664197862
52,2984876127
53,590855242
54,2636628914
55,4098827500
56,1264470035
57,1870003506
58,2933179218
59,1725215827
60,1057551971
61,1710592780
62,653797615
63,4133849295
64,862274423
65,3037628487
66,1890739409
67,2883008627
68,3513317812
69,3048909059
70,3590218458
71,445055663
72,1017541922
73,3104451591
74,2486915582
75,624701359
76,4280223961
77,1837730198
78,953340367
79,47620175
80,202044367
81,2997482705
82,4208147025
83,1857979836
84,3378141625
85,3734267489
86,3946585569
87,2670528785
88,1159292426
89,2982234572
90,788674061
91,1399450224
92,1259144373
93,2861443539
94,3717632156
95,3524999778
96,2922575134
97,958174804
98,3520943322
99,3671193445
100,4196270934
101,4222630
102,1501982302
103,2056972109
104,4219774592
105,716223074
106,3671924511
107,3063091873
108,1890651270
109,745177801
110,4063379442
111,782188259
112,4167688956
113,2346976279
114,3478753260
115,2826575961
116,115748881
117,2544642912
118,570439600
119,3806409114
120,3612540473
121,3164998578
122,447152267
123,1775177031
124,3723403913
125,726523032
126,3200369159
127,3652428864
128,3950817418
129,2542724258
130,3201814264
131,3749195826
132,1374731896
133,1238608591
134,1285882676
135,341767061
136,3599516952
137,3267184129
138,798488638
139,3925862731
140,3558032119
141,2783250772
142,719226973
143,965857815
144,3030202651
145,3131062721
146,2397502363
147,2759119265
148,713106466
149,259739381
150,3168355636
151,451131232
152,3032393872
153,87194720
154,3588812604
155,4029412088
156,783807226
157,1379437422
158,625829892
159,792094388
160,3234379424
161,3651324693
162,967943426
163,1682786032
164,2650989780
165,2128206915
166,15551446
167,1212149596
168,1266844479
169,2588715612
170,661646380
171,251665869
172,2109259344
173,2104619690
174,107876654
175,2328771257
176,4244246394
177,3234295555
178,432981176
179,4057563457
180,349192684
181,2111786319
182,2094839013
183,2693750729
184,1674002335
185,4259483489
186,1528978656
187,3013653951
188,3269032240
189,1724795043
190,862357608
191,4051830098
192,2782798481
193,4204016491
194,1125578089
195,1071992091
196,3238548144
197,1038618842
198,3900437712
199,157499529
200,2676524175
201,389711336
202,3532430363
203,2194716709
204,1994642268
205,2816261436
206,2575402538
207,2217768819
208,2861156388
209,2265998045
210,278477580
211,2689116394
212,792192610
213,3515231716
214,590036642
215,2678372381
216,902507432
217,4096012650
218,4117132884
219,2237082160
220,3104673762
221,358513784
222,4141623050
223,3572674581
224,1092685578
225,937254488
226,331704887
227,3499737798
228,1909111384
229,2187210928
230,1034692923
231,3010196685
232,2436298236
233,2318840645
234,1560317922
235,576343361
236,2920950646
237,4089076970
238,3572260923
239,3423549576
