universe_id,E,I,vacuum_energy,quantum_correction,entanglement_entropy,information_bound,scale_factor
156,0.766,0.0,0.7277,0.0,0.0,0.0066928509242848554,1.0
145,0.766,0.0,0.7277,0.0,0.0,0.0066928509242848554,1.0
101,0.72,0.0,0.6839999999999999,0.0,0.0,0.0066928509242848554,1.0
127,0.766,0.0,0.7277,0.0,0.0,0.0066928509242848554,1.0
141,0.72,0.0,0.6839999999999999,0.0,0.0,0.0066928509242848554,1.0
139,0.766,0.0,0.7277,0.0,0.0,0.0066928509242848554,1.0
42,0.766,0.0,0.7277,0.0,0.0,0.0066928509242848554,1.0
15,0.7331197169787103,0.0,0.6964637311297747,0.0,0.0,0.0066928509242848554,1.0
126,0.766,0.0,0.7277,0.0,0.0,0.0066928509242848554,1.0
65,0.766,0.0,0.7277,0.0,0.0,0.0066928509242848554,1.0
