universe_id,E,I,causal_scale,entanglement_density,error_correction_threshold,holographic_entropy,comoving_distance
156,0.766,0.0,101.32000000000001,0.0,0.07500000000000001,32250.780907485256,100.0
145,0.766,0.0,101.32000000000001,0.0,0.07500000000000001,32250.780907485256,100.0
101,0.72,0.0,100.4,0.0,0.07500000000000001,31667.756603009693,100.0
127,0.766,0.0,101.32000000000001,0.0,0.07500000000000001,32250.780907485256,100.0
141,0.72,0.0,100.4,0.0,0.07500000000000001,31667.756603009693,100.0
139,0.766,0.0,101.32000000000001,0.0,0.07500000000000001,32250.780907485256,100.0
42,0.766,0.0,101.32000000000001,0.0,0.07500000000000001,32250.780907485256,100.0
15,0.7331197169787103,0.0,100.6623943395742,0.0,0.07500000000000001,31833.499598957602,100.0
126,0.766,0.0,101.32000000000001,0.0,0.07500000000000001,32250.780907485256,100.0
65,0.766,0.0,101.32000000000001,0.0,0.07500000000000001,32250.780907485256,100.0
