universe_id,seed
0,3594799793
1,3000059283
2,590086021
3,581072369
4,3394604536
5,1698182606
6,1622309364
7,3461887325
8,2627228583
9,1029403935
10,1104163318
11,1030026964
12,1943179372
13,2891953554
14,4079635750
15,2877614563
16,1517005903
17,1431317479
18,735880000
19,1328199834
20,1168122262
21,3853630457
22,3795357853
23,966961110
24,3545253693
25,1701750352
26,1467196538
27,2159327501
28,2841467181
29,27801516
30,1373949879
31,1015975066
32,3962979614
33,864839397
34,565459666
35,2239458889
36,2158955148
37,2684295673
38,3217624789
39,3894972101
40,321277365
41,3302205231
42,1292881174
43,3528114095
44,1956000585
45,1354349067
46,970677765
47,3755622482
48,1400801725
49,1364518539
50,981843301
51,1090676976
52,121779773
53,4196635486
54,1885030887
55,127224832
56,3128741742
57,3423464662
58,1243373470
59,3046430037
60,952055947
61,1899275368
62,1927472275
63,3111186663
64,3500276589
65,1419011486
66,784101060
67,3578652213
68,1768055442
69,910639275
70,4084623539
71,42308553
72,1312972623
73,3323863112
74,2777584516
75,1436131482
76,4257499597
77,2172464546
78,191040237
79,3679769030
80,1956801973
81,1864496937
82,338968793
83,2952136160
84,3667009236
85,2996346157
86,2284686645
87,2153543679
88,965404776
89,2912922449
90,2169010338
91,1670353574
92,1076827578
93,1683262529
94,1515035777
95,3914302380
96,726296348
97,4005112515
98,1036610812
99,2974958139
100,575705301
101,780627852
102,3894632940
103,769287923
104,998026055
105,1320346515
106,4247931492
107,1269891498
108,300761636
109,3171311052
110,150107329
111,3650678875
112,2577222471
113,3560999487
114,1925336393
115,3793499648
116,1453728514
117,3376036893
118,1408175999
119,2028522014
120,3754155933
121,2698182242
122,2192321654
123,1073146047
124,2304671278
125,917965432
126,638425429
127,4195478061
128,1938544613
129,2396588230
130,1844592415
131,3509359714
132,824359584
133,266752792
134,1890306175
135,1756694374
136,4146711223
137,1126325260
138,1638303979
139,2606776466
140,1193556202
141,142610323
142,3408030092
143,2278934001
144,2415194985
145,139808936
146,1249824557
147,4049064429
148,1339734540
149,2433325214
150,2717723293
151,1320539673
152,2588927021
153,3384205131
154,2209897799
155,3589506412
156,4056279105
157,625135895
158,4138003008
159,151225141
160,3785951426
161,1958839570
162,1778011680
163,1674663025
164,2856121871
165,2322143312
166,842727467
167,2298478797
168,337363846
169,4103651704
170,1923564866
171,2066481119
172,2284143765
173,807046341
174,785938055
